LATITUDE,LONGITUDE,ARC_ID,YEAR,VH,CYC,PED,FATAL,SERIOUS_INJURY,MINOR_INJURY,NO_INJURY
34.164878845,-118.41053009,3815895015341648791916620220_381588433534164882123292224,2019,1,0,0,0,0,1,0
34.231620789,-118.403594971,381597016534231535912830168_381595664534231752357999769,2022,1,0,0,0,0,0,1
34.208358765,-118.544776917,3814551885342082756397811561_38145518853420839335354872,2020,1,0,0,0,0,0,1
34.190299988,-118.474128723,3815258705341900067097321620_381525809534193647362782308,2019,1,0,0,0,0,1,0
34.171905518,-118.571578979,38142803153417176235361195_381428884534172076365306005,2022,1,0,0,0,0,0,1
34.185932159,-118.4009552,381599110534185808361454815_38159894353418614918154011,2022,0,0,1,1,0,0,0
34.187641144,-118.449562073,3815503835341876552594715288_3815511065341876587437051901,2020,0,1,0,0,0,0,1
34.157611847,-118.440002441,3815598875341576117496276811_381560028534157612123237045,2020,1,0,0,0,0,0,1
34.235710144,-118.472572327,3815274305342356984856744807_3815272715342371947097285375,2022,0,0,1,0,0,0,1
34.23059082,-118.472991943,381526972534228608627963310_3815270185342316467097285378,2019,1,0,0,0,0,0,1
34.155319214,-118.443603516,381556615534155293374409484_381556271534155321374409490,2019,0,0,1,0,1,0,0
34.225128174,-118.571037292,3814289445342253265546847502_3814289445342249804020571845,2020,1,0,0,0,0,0,1
34.16822052,-118.590057373,381407028534168673122502558_3814116515341679901831354330,2022,1,0,0,0,0,1,0
34.186611176,-118.527282715,381472682534186617367899415_3814728155341866176283735137,2020,1,0,0,0,1,0,0
34.208358765,-118.549186707,3814508225342082756397811550_38145082353420838935354874,2020,1,0,0,0,0,1,0
34.168685913,-118.439987183,3815600315341688524049188169_3815600295341686487491545635,2020,1,0,0,0,0,0,1
34.237800598,-118.450241089,3815497395342369776437697516_3815497415342378446792129240,2020,1,0,0,0,0,0,1
34.184684753,-118.450912476,3815490905341847457314506962_381549090534184655123163278,2020,0,1,0,0,0,0,1
34.186576843,-118.592758179,3814071845341866073884188215_3814071875341863924089413274,2020,0,0,1,0,0,0,1
34.159294128,-118.501266479,381498845534159283122852598_3814986725341593215993890289,2020,1,0,0,0,0,0,1
34.228240967,-118.544830322,381455168534228245123328802_3814551665342281186027934236,2020,1,0,0,0,0,0,1
34.232715607,-118.409408569,3815906585342324104050067055_3815905485342327574050067057,2022,1,0,0,0,0,0,1
34.264541626,-118.536109924,381463882534264532123105434_3814638825342646576317548748,2020,1,0,0,0,0,0,1
